연번,구분,설립형태,유형,시도,시군구,시설명,주소,전화번호,팩스,관계행정기관
231,공공,-,보건소,경남,고성군,고성군보건소,경남 고성군 고성읍 남포로79번길 103-3,055-670-4001,055-670-4001,-
232,공공,-,보건소,경남,김해시,김해시보건소,경남 김해시 분성로 227,055-330-4451,055-330-4459,-
233,공공,-,보건소,경남,남해군,남해군보건소,경남 남해군 남해읍 선소로 6,055-860-8701,055-860-8799,-
234,공공,-,보건소,경남,밀양시,밀양시보건소,경남 밀양시 삼문중앙로 41,055-359-7020,055-359-7095,-
235,공공,-,보건소,경남,사천시,사천시보건소,경남 사천시 용현면 시청로 77 ,055-831-3560, 055-831-6000,-
236,공공,-,보건의료원,경남,산청군,산청군보건의료원,경남 산청군 산청읍 중앙로 97,055-970-7500,055-970-7519,-
237,공공,-,보건소,경남,양산시,양산시보건소,경남 양산시 삽량로 169,055-380-4000,055-392-2119,-
238,공공,-,보건소,경남,의령군,의령군보건소,경남 의령군 의령읍 의병로8길 16,055-570-4010,055-570-2158,-
239,공공,-,보건소,경남,진주시,진주시보건소,경남 진주시 월아산로 2026 1층 (초전동),055-741-4000,055-749-5719 ,-
240,공공,-,보건소,경남,창녕군,창녕군보건소,경남 창녕군 창녕읍 우포2로 1189-35,055-530-6202,055-530-6210,-
241,공공,-,보건소,경남,창원시,창원시마산보건소,경남 창원시 마산합포구 월영동북로 15,055-225-5931,055-245-4442,-
242,공공,-,보건소,경남,창원시,창원시진해보건소,경남 창원시 진해구 진해대로 1101(풍호동),055-225-6101,055-225-4771,-
243,공공,-,보건소,경남,창원시,창원시창원보건소,경남 창원시 의창구 중앙대로162번길 9,055-225-4000,055-225-4766,-
244,공공,-,보건소,경남,통영시,통영시보건소,경남 통영시 안개4길 108 (무전동),055-650-6110,055-650-6199,-
245,공공,-,보건소,경남,하동군,하동군보건소,경남 하동군 하동읍 군청로 31,055-882-4000,055-880-6620 ,-
246,공공,-,보건소,경남,함안군,함안군보건소,경남 함안군 가야읍 중앙남4길 10,055-580-3101,055-580-3109,-
247,공공,-,보건소,경남,함양군,함양군보건소,경남 함양군 함양읍 한들로 141,055-960-5331,055-960-5777,-
248,공공,-,보건소,경남,합천군,합천군보건소,경남 합천군 합천읍 동서로 39,055-930-3681,055-930-3699,-
249,공공,-,보건소,제주,서귀포시,서귀포시동부보건소,제주특별자치도 서귀포시 남원읍 태위로 527,064-760-6834,064-764-3945,-
250,공공,-,보건소,제주,서귀포시,서귀포시서귀포보건소,"제주특별자치도 서귀포시 중앙로101번길 52, 본관  (서홍동)",064-760-6832,064-760-6019,-
251,공공,-,보건소,제주,서귀포시,서귀포시서부보건소,제주특별자치도 서귀포시 대정읍 최남단해안로15번길 12,064-760-6251,064-760-6219,-
252,공공,-,보건소,제주,제주시,제주시동부보건소,제주특별자치도 제주시 구좌읍 김녕로14길 6,064-728-4173,064-764-3945,-
253,공공,-,보건소,제주,제주시,제주시서부보건소,제주특별자치도 제주시 한림읍 강구로 5,064-728-4104,064-796-0910,-
254,공공,-,보건소,제주,제주시,제주시제주보건소,제주특별자치도 제주시 연삼로 264  (도남동),064-728-4100,064-753-2358,-
